"consent","did_donate_account","sex","age","education","groups_don","groups_quest"
"yes","Yes","male",46,"mbo",39,10
"no","No","male",60,"wo",NA,6
"no","No","male",72,"havo/vwo",NA,NA
"no","No","female",32,"mbo",NA,1
"no","No","female",72,"vmbo",NA,NA
"yes","No","female",39,"mbo",NA,10
"no","No","female",69,"mbo",NA,2
"no","No","female",48,"mbo",NA,4
"no","No","female",64,"mbo",NA,7
"yes","No","male",49,"mbo",NA,5
"yes","No","male",81,"vmbo",NA,NA
"yes","No","male",65,"mbo",NA,9
"no","No","male",70,"wo",NA,5
"no","No","male",32,"mbo",NA,NA
"no","No","male",60,"mbo",NA,10
"yes","Yes","female",47,"mbo",14,4
"no","No","female",79,"havo/vwo",NA,NA
"no","No","male",70,"primary education",NA,5
"no","No","female",50,"wo",NA,10
"no","No","male",45,"hbo",NA,25
"no","No","female",37,"wo",NA,15
"no","No","male",41,"havo/vwo",NA,4
"no","No","male",83,"havo/vwo",NA,2
"no","No","male",70,"mbo",NA,NA
"no","No","male",26,"wo",NA,30
"yes","No","male",25,"havo/vwo",NA,4
"no","No","female",60,"wo",NA,10
"no","No","female",52,"hbo",NA,20
"yes","Yes","male",54,"wo",23,4
"no","No","female",63,"hbo",NA,6
"no","No","female",18,"havo/vwo",NA,8
"no","No","male",32,"wo",NA,100
"no","No","male",67,"vmbo",NA,3
"no","No","male",83,"vmbo",NA,3
"no","No","female",74,"vmbo",NA,10
"yes","No","female",54,"mbo",NA,3
"yes","Yes","male",68,"hbo",2,NA
"yes","No","female",69,"wo",NA,8
"yes","No","male",46,"hbo",NA,30
"no","No","female",59,"mbo",NA,50
"yes","Yes","female",46,"hbo",35,10
"yes","No","female",68,"mbo",NA,2
"no","No","female",72,"vmbo",NA,1
"yes","No","male",45,"mbo",NA,10
"no","No","male",64,"hbo",NA,10
"no","No","male",58,"hbo",NA,8
"no","No","male",76,"vmbo",NA,NA
"no","No","female",67,"havo/vwo",NA,4
"no","No","male",53,"wo",NA,10
"no","No","female",80,"mbo",NA,1
"yes","No","female",42,"havo/vwo",NA,5
"no","No","female",56,"hbo",NA,10
"no","No","male",74,NA,NA,4
"no","No","male",35,"wo",NA,2
"yes","No","female",49,"mbo",NA,5
"no","No","male",75,"mbo",NA,1
"no","No","male",27,"wo",NA,20
"no","No","male",48,"mbo",NA,NA
"no","No","male",90,"primary education",NA,NA
"no","No","female",40,"hbo",NA,2
"no","No","male",52,"vmbo",NA,1
"no","No","female",63,"vmbo",NA,4
"no","No","male",72,"primary education",NA,NA
"no","No","male",40,"mbo",NA,15
"no","No","female",53,"hbo",NA,7
"no","No","female",30,"hbo",NA,NA
"no","No","male",60,"wo",NA,NA
"no","No","male",44,"mbo",NA,15
"no","No","female",66,"vmbo",NA,NA
"no","No","female",55,"vmbo",NA,NA
"yes","Yes","female",26,"hbo",117,100
"yes","No","male",61,"hbo",NA,1
"no","No","female",77,"vmbo",NA,NA
"no","No","female",25,"havo/vwo",NA,25
"no","No","female",69,"hbo",NA,5
"yes","No","male",77,"mbo",NA,2
"no","No","female",82,"vmbo",NA,NA
"no","No","male",75,"mbo",NA,1
"no","No","male",73,"wo",NA,5
"no","No","female",54,"vmbo",NA,1
"no","No","female",77,"hbo",NA,NA
"no","No","female",64,"mbo",NA,5
"no","No","male",85,"vmbo",NA,NA
"yes","No","female",62,"wo",NA,NA
"no","No","male",58,"mbo",NA,NA
"yes","Yes","male",64,"havo/vwo",NA,4
"yes","No","male",69,"wo",NA,15
"no","No","female",40,"hbo",NA,3
"no","No","female",84,"vmbo",NA,6
"yes","No","female",78,"mbo",NA,NA
"yes","No","female",21,"primary education",NA,4
"no","No","female",21,"mbo",NA,5
"no","No","female",69,"mbo",NA,3
"yes","No","male",60,"vmbo",NA,2
"no","No","male",77,"mbo",NA,NA
"no","No","female",77,"havo/vwo",NA,NA
"yes","No","male",37,"mbo",NA,50
"no","No","female",78,"vmbo",NA,3
"yes","No","female",33,"mbo",NA,6
"no","No","male",80,"hbo",NA,2
"no","No","female",65,"vmbo",NA,2
"yes","No","female",43,"mbo",NA,15
"no","No","male",34,"hbo",NA,10
"no","No","female",70,"hbo",NA,NA
"no","No","female",41,"hbo",NA,15
"no","No","male",80,"hbo",NA,NA
"no","No","female",27,"hbo",NA,3
"no","No","male",40,"mbo",NA,5
"no","No","female",65,"primary education",NA,NA
"no","No","male",49,"vmbo",NA,2
"no","No","female",53,"havo/vwo",NA,20
"no","No","female",82,"vmbo",NA,NA
"no","No","female",73,"mbo",NA,NA
"no","No","male",65,"vmbo",NA,5
"no","No","male",66,"havo/vwo",NA,NA
"yes","No","female",24,"wo",NA,4
"no","No","female",53,"wo",NA,15
"no","No","male",17,"primary education",NA,9
"yes","Yes","female",37,"havo/vwo",33,8
"no","No","male",61,"vmbo",NA,1
"no","No","male",76,"hbo",NA,3
"no","No","male",61,"vmbo",NA,5
"no","No","male",73,"mbo",NA,3
"yes","Yes","female",48,"wo",70,15
"no","No","female",75,"mbo",NA,NA
"no","No","female",53,"mbo",NA,2
"no","No","female",68,"mbo",NA,NA
"no","No","male",42,"hbo",NA,12
"yes","No","male",71,"vmbo",NA,3
"yes","No","male",23,"mbo",NA,25
"no","No","female",32,"mbo",NA,2
"no","No","female",62,"vmbo",NA,NA
"yes","No","male",80,"vmbo",NA,2
"no","No","female",23,"havo/vwo",NA,20
"no","No","female",56,"mbo",NA,1
"no","No","female",48,"hbo",NA,NA
"no","No","female",52,"primary education",NA,1
"yes","Yes","male",66,"mbo",30,7
"no","No","male",33,"wo",NA,2
"no","No","female",65,"vmbo",NA,NA
"no","No","female",68,"hbo",NA,6
"no","No","female",72,"hbo",NA,2
"no","No","female",70,"mbo",NA,4
"no","No","female",74,"mbo",NA,10
"no","No","female",29,"wo",NA,10
"yes","Yes","female",66,"primary education",2,NA
"no","No","female",56,"mbo",NA,NA
"no","No","female",32,"hbo",NA,20
"yes","No","male",68,"wo",NA,5
"no","No","female",66,"mbo",NA,4
"yes","No","female",48,NA,NA,NA
"no","No","male",76,"vmbo",NA,1
"yes","No","female",61,"havo/vwo",NA,71
"no","No","male",50,"vmbo",NA,5
"no","No","male",73,"wo",NA,NA
"no","No","female",69,"hbo",NA,5
"no","No","female",62,"mbo",NA,NA
"no","No","female",22,"havo/vwo",NA,20
"no","No","female",31,"hbo",NA,30
"no","No","male",62,"vmbo",NA,NA
"no","No","female",59,"havo/vwo",NA,8
"no","No","male",31,"vmbo",NA,6
"no","No","male",68,"vmbo",NA,NA
"no","No","male",50,"mbo",NA,3
"no","No","male",51,"vmbo",NA,NA
"no","No","male",49,"wo",NA,10
"no","No","female",43,"mbo",NA,6
"no","No","female",68,"primary education",NA,1
"no","No","male",36,"hbo",NA,20
"no","No","male",82,"hbo",NA,2
"no","No","female",66,"vmbo",NA,NA
"no","No","male",17,"vmbo",NA,5
"yes","Yes","female",31,"hbo",52,15
"no","No","female",77,"wo",NA,5
"no","No","female",71,"mbo",NA,4
"yes","Yes","female",39,"wo",99,25
"yes","No","male",44,"primary education",NA,NA
"no","No","male",65,"primary education",NA,5
"no","No","male",56,"hbo",NA,3
"no","No","male",53,"hbo",NA,NA
"no","No","male",69,"hbo",NA,4
"no","No","female",66,"hbo",NA,10
"no","No","female",65,"hbo",NA,5
"no","No","male",51,"hbo",NA,6
"no","No","male",25,"havo/vwo",NA,30
"no","No","male",37,"wo",NA,5
"no","No","female",62,"havo/vwo",NA,NA
"yes","No","male",43,"hbo",NA,20
"yes","No","male",54,"wo",NA,15
"no","No","female",54,"mbo",NA,6
"no","No","female",80,"vmbo",NA,NA
"no","No","male",62,"mbo",NA,15
"no","No","female",57,"havo/vwo",NA,2
"no","No","male",73,"vmbo",NA,3
"no","No","female",70,"vmbo",NA,6
"no","No","male",59,"hbo",NA,4
"no","No","male",79,"mbo",NA,NA
"no","No","female",58,"havo/vwo",NA,10
"no","No","female",52,"mbo",NA,5
"yes","No","male",68,"hbo",NA,10
"yes","Yes","male",70,"mbo",29,3
"yes","No","male",63,"mbo",NA,5
"yes","No","male",60,"mbo",NA,4
"no","No","female",18,"primary education",NA,12
"no","No","female",58,"vmbo",NA,5
"no","No","female",63,"hbo",NA,10
"yes","No","male",72,"havo/vwo",NA,2
"yes","Yes","female",37,"wo",20,8
"yes","Yes","male",35,"mbo",15,10
"no","No","male",63,"mbo",NA,NA
"no","No","female",53,"hbo",NA,20
"no","No","female",59,"vmbo",NA,NA
"no","No","male",73,"hbo",NA,1
"no","No","female",50,"vmbo",NA,NA
"no","No","male",68,"vmbo",NA,2
"no","No","male",73,"hbo",NA,20
"yes","No","female",25,"hbo",NA,20
"no","No","male",71,"vmbo",NA,1
"no","No","female",81,"vmbo",NA,NA
"yes","No","female",27,"mbo",NA,1
"no","No","male",42,"hbo",NA,15
"no","No","female",58,"hbo",NA,6
"yes","Yes","female",57,"wo",21,15
"no","No","male",65,"hbo",NA,6
"no","No","female",25,"havo/vwo",NA,10
"no","No","female",40,"mbo",NA,5
"no","No","male",62,"hbo",NA,5
"no","No","female",24,"mbo",NA,4
"yes","No","male",51,"hbo",NA,2
"no","No","male",71,"wo",NA,1
"yes","No","male",36,"primary education",NA,10
"no","No","female",17,"primary education",NA,10
"yes","No","female",27,"hbo",NA,15
"no","No","female",44,"hbo",NA,3
"no","No","female",63,"vmbo",NA,5
"no","No","male",50,"wo",NA,6
"yes","No","female",68,"hbo",NA,15
"no","No","female",58,"vmbo",NA,15
"yes","Yes","male",71,"wo",23,12
"no","No","female",88,"vmbo",NA,NA
"no","No","female",76,"vmbo",NA,NA
"yes","No","male",84,"hbo",NA,4
"yes","No","male",76,"wo",NA,6
"no","No","male",53,"mbo",NA,6
"no","No","female",16,"primary education",NA,80
"no","No","female",52,"vmbo",NA,NA
"no","No","male",40,"mbo",NA,5
"no","No","female",47,"mbo",NA,NA
"yes","No","female",70,"vmbo",NA,7
"yes","No","male",38,"hbo",NA,8
"no","No","male",44,"wo",NA,30
"no","No","male",59,"mbo",NA,3
"no","No","male",31,"hbo",NA,6
"no","No","male",20,"havo/vwo",NA,10
"no","No","female",86,"vmbo",NA,1
"no","No","female",96,"havo/vwo",NA,NA
"no","No","female",74,"hbo",NA,7
"no","No","male",35,"wo",NA,5
"no","No","female",73,"hbo",NA,2
"no","No","female",76,"hbo",NA,NA
"yes","Yes","female",51,"wo",102,10
"yes","No","female",42,"hbo",NA,20
"no","No","male",89,"vmbo",NA,NA
"no","No","male",60,"vmbo",NA,20
"no","No","male",45,"wo",NA,100
"no","No","male",54,"wo",NA,10
"no","No","male",73,"vmbo",NA,NA
"yes","Yes","male",52,"mbo",11,3
"no","No","female",50,"hbo",NA,11
"no","No","female",53,"vmbo",NA,2
"no","No","female",39,"wo",NA,10
"no","No","male",26,"havo/vwo",NA,30
"yes","Yes","female",41,"hbo",94,20
"yes","No","male",16,"primary education",NA,5
"no","No","female",79,"wo",NA,NA
"no","No","female",52,"mbo",NA,60
"no","No","female",34,"wo",NA,15
"no","No","female",61,"primary education",NA,3
"no","No","female",65,"vmbo",NA,2
"no","No","female",33,"mbo",NA,5
"no","No","male",60,"wo",NA,NA
"no","No","female",50,"wo",NA,4
"no","No","female",53,"mbo",NA,6
"yes","No","male",62,"vmbo",NA,1
"no","No","female",63,"havo/vwo",NA,NA
"no","No","male",84,"vmbo",NA,NA
"no","No","male",31,"wo",NA,5
"no","No","female",46,"hbo",NA,8
"no","No","male",57,"mbo",NA,2
"no","No","male",44,"hbo",NA,25
"no","No","male",85,"vmbo",NA,NA
"no","No","female",65,"mbo",NA,NA
"no","No","male",69,"hbo",NA,4
"no","No","male",63,"havo/vwo",NA,NA
"no","No","female",40,"primary education",NA,10
"yes","Yes","male",51,"hbo",73,50
"no","No","female",72,"wo",NA,2
"no","No","male",85,"wo",NA,1
"no","No","male",53,"mbo",NA,15
"no","No","male",28,"wo",NA,40
"yes","No","male",39,"wo",NA,20
"no","No","female",52,"hbo",NA,1
"no","No","female",55,"mbo",NA,5
"no","No","male",59,"mbo",NA,2
"no","No","female",66,"hbo",NA,7
"yes","Yes","female",35,"wo",32,10
"yes","No","male",54,"mbo",NA,7
"yes","No","female",39,"mbo",NA,10
"no","No","male",76,"hbo",NA,NA
"no","No","male",53,"mbo",NA,3
"no","No","male",79,"wo",NA,2
"no","No","female",66,"hbo",NA,5
"yes","Yes","male",40,"hbo",46,8
"no","No","female",69,"hbo",NA,10
"yes","Yes","male",26,"wo",111,30
"yes","No","male",71,"wo",NA,3
"no","No","female",27,"hbo",NA,20
"no","No","male",41,"wo",NA,10
"no","No","female",57,"havo/vwo",NA,2
"no","No","female",71,"primary education",NA,NA
"yes","Yes","male",45,"vmbo",22,8
"no","No","female",40,"mbo",NA,15
"no","No","female",44,"mbo",NA,3
"yes","No","male",28,"wo",NA,30
"yes","No","female",31,"hbo",NA,12
"no","No","female",64,"havo/vwo",NA,5
"yes","Yes","female",17,"vmbo",35,8
"no","No","male",67,"mbo",NA,5
"no","No","male",60,"hbo",NA,NA
"yes","No","female",62,"wo",NA,12
"no","No","female",69,"hbo",NA,3
"no","No","male",54,"wo",NA,6
"no","No","male",79,"hbo",NA,3
"no","No","female",64,"hbo",NA,10
"yes","No","female",51,"hbo",NA,4
"no","No","male",42,"mbo",NA,5
"no","No","male",52,"hbo",NA,20
"no","No","male",65,"primary education",NA,NA
"no","No","male",46,"hbo",NA,5
"no","No","female",76,"hbo",NA,NA
"no","No","male",78,"vmbo",NA,1
"no","No","female",63,"mbo",NA,3
"no","No","female",60,"havo/vwo",NA,10
"no","No","female",33,"mbo",NA,5
"yes","No","female",82,"vmbo",NA,NA
"no","No","male",68,"wo",NA,5
"no","No","female",49,"mbo",NA,10
"no","No","female",62,"mbo",NA,3
"no","No","female",60,"havo/vwo",NA,10
"yes","No","male",63,"havo/vwo",NA,12
"no","No","female",61,"mbo",NA,6
"no","No","male",71,"vmbo",NA,NA
"yes","No","female",21,"mbo",NA,30
"no","No","male",66,"wo",NA,10
"no","No","female",76,"vmbo",NA,1
"no","No","male",74,"vmbo",NA,5
"no","No","female",81,"hbo",NA,NA
"no","No","female",76,"vmbo",NA,NA
"yes","Yes","male",69,"hbo",13,3
"no","No","female",74,"hbo",NA,10
"no","No","male",51,"wo",NA,3
"no","No","male",61,"hbo",NA,4
"yes","No","female",24,"wo",NA,12
"no","No","male",63,"mbo",NA,2
"yes","No","male",70,"primary education",NA,NA
"no","No","male",77,"mbo",NA,1
"yes","No","female",25,"wo",NA,30
"no","No","female",42,"mbo",NA,6
"no","No","male",66,"vmbo",NA,NA
"yes","Yes","female",26,"wo",44,15
"no","No","female",62,"hbo",NA,10
"no","No","female",43,"primary education",NA,3
"no","No","male",75,"mbo",NA,NA
"no","No","male",72,"havo/vwo",NA,2
"no","No","male",79,"vmbo",NA,4
"yes","Yes","female",48,"mbo",1,NA
"yes","No","female",30,"mbo",NA,10
"yes","Yes","male",55,"vmbo",9,6
"no","No","female",39,"hbo",NA,10
"no","No","male",26,"mbo",NA,8
"no","No","male",30,"mbo",NA,NA
"yes","No","male",58,"mbo",NA,NA
"no","No","female",50,"havo/vwo",NA,6
"yes","No","male",73,"vmbo",NA,NA
"no","No","male",75,"hbo",NA,2
"no","No","male",69,"vmbo",NA,NA
"no","No","male",72,"havo/vwo",NA,10
"yes","No","female",40,"mbo",NA,1
"no","No","male",64,"wo",NA,5
"no","No","female",27,"hbo",NA,28
"no","No","male",77,"mbo",NA,NA
"no","No","male",62,"wo",NA,10
"yes","No","female",29,"havo/vwo",NA,6
"no","No","male",64,"mbo",NA,NA
"no","No","male",77,"primary education",NA,NA
"yes","No","male",66,"wo",NA,15
